,Time,Price
0,13-00-01,929.77
4,13-00-04,929.69
9,13-00-08,929.81
10,13-00-09,929.98
13,13-00-12,929.905
17,13-00-15,929.91
18,13-00-16,930.00
21,13-00-19,930.01
22,13-00-20,930.12
25,13-00-23,930.08
26,13-00-24,930.08
27,13-00-24,930.21
28,13-00-25,929.92
32,13-00-29,929.70
33,13-00-30,929.58
34,13-00-31,929.75
35,13-00-32,929.55
36,13-00-33,929.55
37,13-00-34,929.51
40,13-00-36,929.29
43,13-00-39,929.295
44,13-00-40,929.33
46,13-00-42,929.48
56,13-00-51,930.11
57,13-00-52,930.17
58,13-00-53,930.24
