GOOG,,
,Time,Price
0,10-34-32,944.67
1,10-34-33,944.67
2,10-34-34,944.67
3,10-34-35,944.67
4,10-34-36,944.67
5,10-34-36,944.67
6,10-34-37,944.67
7,10-34-38,944.67
8,10-34-39,944.67
9,10-34-40,944.67
10,10-34-40,944.67
11,10-34-41,944.67
12,10-34-43,944.67
13,10-34-44,944.67
14,10-34-44,944.67
15,10-34-45,944.67
16,10-34-46,944.67
17,10-34-47,944.67
18,10-34-48,944.67
19,10-34-49,944.67
20,10-34-50,944.67
21,10-34-50,944.67
22,10-34-51,944.67
23,10-34-52,944.67
24,10-34-53,944.67
25,10-34-54,944.67
26,10-34-55,944.67
27,10-34-55,944.67
28,10-34-56,944.67
29,10-34-57,944.67
30,10-34-58,944.67
31,10-34-59,944.67
32,10-35-00,944.67
33,10-35-01,944.67
34,10-35-02,944.67
35,10-35-03,944.67
36,10-35-03,944.68
37,10-35-04,944.68
38,10-35-05,944.68
39,10-35-06,944.68
40,10-35-07,944.68
41,10-35-08,944.68
42,10-35-08,944.68
43,10-35-09,944.68
44,10-35-10,944.68
45,10-35-11,944.68
46,10-35-12,944.68
47,10-35-13,944.68
48,10-35-14,944.68
49,10-35-14,944.68
50,10-35-15,944.68
51,10-35-16,944.68
52,10-35-17,944.68
53,10-35-18,944.68
54,10-35-19,944.68
55,10-35-19,944.68
56,10-35-20,944.68
57,10-35-21,944.68
58,10-35-22,944.68
59,10-35-23,944.68
60,10-35-23,944.68
61,10-35-24,944.68
62,10-35-25,944.68
63,10-35-26,944.68
64,10-35-27,944.68
65,10-35-28,944.68
66,10-35-29,944.68
67,10-35-30,944.68
68,10-35-31,944.68
69,10-35-31,944.68
70,10-35-32,944.68
71,10-35-33,944.68
72,10-35-34,944.68
73,10-35-35,944.68
74,10-35-36,944.68
75,10-35-37,944.68
76,10-35-38,944.68
77,10-35-38,944.68
78,10-35-39,944.68
79,10-35-40,944.68
80,10-35-41,944.68
81,10-35-42,944.68
82,10-35-43,944.68
83,10-35-44,944.68
84,10-35-45,944.68
85,10-35-46,944.68
86,10-35-47,944.68
87,10-35-48,944.68
88,10-35-48,944.68
89,10-35-49,944.68
90,10-35-50,944.68
91,10-35-51,944.68
92,10-35-52,944.68
93,10-35-53,944.68
94,10-35-54,944.68
95,10-35-54,944.68
96,10-35-55,944.68
97,10-35-56,944.68
98,10-35-57,944.68
99,10-35-58,944.68
100,10-36-01,944.68
101,10-36-02,944.68
102,10-36-03,944.68
103,10-36-04,944.72
104,10-36-05,944.72
105,10-36-06,944.72
106,10-36-06,944.72
107,10-36-07,944.72
108,10-36-08,944.72
109,10-36-09,944.72
110,10-36-10,944.72
111,10-36-11,944.72
112,10-36-12,944.72
113,10-36-13,944.72
114,10-36-14,944.72
115,10-36-15,944.72
116,10-36-17,944.72
117,10-36-17,944.72
118,10-36-18,944.72
119,10-36-19,944.72
120,10-36-20,944.72
121,10-36-21,944.72
122,10-36-22,944.72
123,10-36-23,944.72
124,10-36-24,944.72
125,10-36-25,944.72
126,10-36-26,944.72
127,10-36-27,944.72
128,10-36-28,944.72
129,10-36-29,944.72
130,10-36-30,944.72
131,10-36-32,944.72
132,10-36-33,944.72
133,10-36-35,944.72
134,10-36-39,944.72
135,10-36-40,944.72
136,10-36-41,944.72
137,10-36-42,944.72
138,10-36-43,944.72
139,10-36-44,944.72
140,10-36-45,944.72
141,10-36-46,944.72
142,10-36-49,944.72
143,10-36-49,944.72
144,10-36-51,944.72
145,10-36-52,944.72
146,10-36-53,944.72
147,10-36-56,944.72
148,10-36-57,944.72
149,10-36-58,944.72
150,10-36-59,944.72
151,10-37-00,944.72
152,10-37-01,944.72
153,10-37-02,944.72
154,10-37-03,944.72
155,10-37-03,944.72
156,10-37-05,944.72
157,10-37-05,944.72
158,10-37-06,944.72
159,10-37-07,944.72
160,10-37-08,944.72
161,10-37-09,944.72
162,10-37-10,944.72
163,10-37-11,944.72
164,10-37-12,944.72
165,10-37-13,944.72
166,10-37-13,944.72
167,10-37-14,944.72
168,10-37-15,944.72
169,10-37-16,944.72
170,10-37-18,944.72
171,10-37-18,944.72
172,10-37-19,944.72
173,10-37-20,944.7
174,10-37-21,944.7
175,10-37-22,944.7
176,10-37-23,944.7
177,10-37-24,944.7
178,10-37-25,944.7
179,10-37-25,944.7
180,10-37-26,944.7
181,10-37-27,944.7
182,10-37-28,944.7
183,10-37-29,944.7
184,10-37-30,944.7
185,10-37-31,944.7
186,10-37-31,944.7
187,10-37-33,944.7
188,10-37-34,944.7
189,10-37-34,944.7
190,10-37-35,944.7
191,10-37-36,944.7
192,10-37-37,944.7
193,10-37-38,944.7
194,10-37-39,944.7
195,10-37-40,944.7
196,10-37-41,944.7
197,10-37-41,944.7
198,10-37-42,944.7
199,10-37-43,944.7
200,10-37-44,944.7
201,10-37-45,944.7
202,10-37-50,944.7
203,10-37-51,944.7
204,10-37-52,944.7
205,10-37-53,944.7
206,10-37-54,944.7
207,10-37-55,944.7
208,10-37-56,944.7
209,10-37-57,944.7
210,10-37-58,944.7
211,10-37-59,944.7
212,10-37-59,944.7
213,10-38-00,944.7
214,10-38-01,944.7
215,10-38-02,944.7
216,10-38-03,944.7
217,10-38-04,944.7
218,10-38-05,944.7
219,10-38-06,944.7
220,10-38-06,944.7
221,10-38-07,944.7
222,10-38-08,944.7
223,10-38-09,944.7
224,10-38-10,944.7
225,10-38-11,944.7
226,10-38-12,944.7
227,10-38-13,944.7
228,10-38-14,944.7
229,10-38-15,944.7
230,10-38-15,944.7
231,10-38-16,944.7
232,10-38-17,944.7
233,10-38-18,944.7
234,10-38-19,944.7
235,10-38-20,944.7
236,10-38-21,944.7
237,10-38-22,944.7
238,10-38-23,944.7
239,10-38-24,944.7
240,10-38-25,944.92
241,10-38-26,944.92
242,10-38-27,944.92
243,10-38-28,944.92
244,10-38-30,944.92
245,10-38-32,944.92
246,10-38-33,945
247,10-38-34,945
248,10-38-35,945
249,10-38-36,945
250,10-38-36,945
251,10-38-37,945
252,10-38-38,945
253,10-38-39,945
254,10-38-40,945
255,10-38-41,945
256,10-38-42,945
257,10-38-43,945
258,10-38-44,945
259,10-38-45,945
260,10-38-45,945
261,10-38-46,945
262,10-38-47,945
263,10-38-48,945
264,10-38-49,945
265,10-38-49,945
266,10-38-50,945
267,10-38-51,945
268,10-38-52,945
269,10-38-53,945
270,10-38-54,945
271,10-38-55,945
272,10-38-56,945
273,10-38-57,945
274,10-38-58,945
275,10-38-59,945
276,10-39-00,945
277,10-39-00,945
278,10-39-02,945
279,10-39-02,945
280,10-39-03,945
281,10-39-04,945
282,10-39-05,945
283,10-39-06,945
284,10-39-07,945
285,10-39-09,945
286,10-39-10,945
287,10-39-11,945
288,10-39-12,945
289,10-39-13,945
290,10-39-14,945
291,10-39-15,945
292,10-39-15,945
293,10-39-17,945
294,10-39-17,945
295,10-39-18,945
296,10-39-19,945
297,10-39-20,945
298,10-39-21,945
299,10-39-22,945
300,10-39-23,945
301,10-39-24,945
302,10-39-25,945
303,10-39-26,945
304,10-39-27,945
305,10-39-28,945
306,10-39-29,945
307,10-39-30,945
308,10-39-31,945
309,10-39-32,945
310,10-39-33,945
311,10-39-34,945
312,10-39-35,945
313,10-39-36,945
314,10-39-37,945
315,10-39-38,945
316,10-39-39,945
317,10-39-39,945
318,10-39-40,945
319,10-39-41,945
320,10-39-42,945
321,10-39-43,945
322,10-39-44,945
323,10-39-45,945
324,10-39-46,945
325,10-39-47,945
326,10-39-48,945
327,10-39-49,945.36
328,10-39-50,945.36
329,10-39-51,945.36
330,10-39-52,945.36
331,10-39-53,945.36
332,10-39-53,945.36
333,10-39-54,945.36
334,10-39-55,945.36
335,10-39-56,945.36
336,10-39-57,945.36
337,10-39-58,945.36
338,10-39-59,945.36
339,10-40-00,945.36
340,10-40-01,945.36
341,10-40-01,945.36
342,10-40-02,945.36
343,10-40-03,945.36
344,10-40-04,945.36
345,10-40-05,945.36
346,10-40-06,945.36
347,10-40-07,945.36
348,10-40-07,945.36
349,10-40-09,945.36
350,10-40-10,945.36
351,10-40-11,945.36
352,10-40-11,945.36
353,10-40-12,945.36
354,10-40-13,945.36
355,10-40-14,945.36
356,10-40-15,945.36
357,10-40-16,945.36
358,10-40-17,945.36
359,10-40-17,945.36
360,10-40-18,945.36
361,10-40-19,945.36
362,10-40-20,945.36
363,10-40-21,945.36
364,10-40-22,945.36
365,10-40-23,945.36
366,10-40-24,945.36
367,10-40-25,945.36
368,10-40-26,945.36
369,10-40-27,945.36
370,10-40-28,945.36
371,10-40-29,945.36
372,10-40-30,945.36
373,10-40-31,945.36
374,10-40-32,945.36
375,10-40-32,945.36
376,10-40-33,945.36
377,10-40-34,945.36
378,10-40-35,945.36
379,10-40-36,945.34
380,10-40-37,945.34
381,10-40-38,945.34
382,10-40-39,945.34
383,10-40-39,945.34
384,10-40-40,945.34
385,10-40-41,945.34
386,10-40-42,945.34
387,10-40-43,945.34
388,10-40-44,945.34
389,10-40-45,945.34
390,10-40-46,945.34
391,10-40-47,945.34
392,10-40-48,945.34
393,10-40-48,945.34
394,10-40-49,945.34
395,10-40-50,945.34
396,10-40-51,945.34
397,10-40-52,945.34
398,10-40-53,945.34
399,10-40-54,945.34
400,10-40-55,945.34
401,10-40-56,945.34
402,10-40-57,945.34
403,10-40-58,945.34
404,10-40-59,945.34
405,10-40-59,945.34
406,10-41-00,945.34
407,10-41-01,945.34
408,10-41-02,945.34
409,10-41-03,945.34
410,10-41-04,945.34
411,10-41-05,945.34
412,10-41-06,945.34
413,10-41-07,945.34
414,10-41-08,945.34
415,10-41-09,945.34
416,10-41-09,945.34
417,10-41-10,945.34
418,10-41-11,945.34
419,10-41-12,945.34
420,10-41-13,945.34
421,10-41-14,945.34
422,10-41-15,945.34
423,10-41-16,945.34
424,10-41-17,945.34
425,10-41-17,945.34
426,10-41-18,945.34
427,10-41-19,945.34
428,10-41-20,945.34
429,10-41-21,945.34
430,10-41-22,945.34
431,10-41-23,945.34
432,10-41-27,945.34
433,10-41-28,945.34
434,10-41-29,945.34
435,10-41-30,945.34
436,10-41-31,945.34
437,10-41-31,945.34
438,10-41-32,945.34
439,10-41-33,945.34
440,10-41-34,945.34
441,10-41-35,945.34
442,10-41-36,945.34
443,10-41-37,945.34
444,10-41-37,945.34
445,10-41-38,945.34
446,10-41-39,945.34
447,10-41-40,945.34
448,10-41-41,945.34
449,10-41-41,945.34
450,10-41-42,945.34
451,10-41-43,945.34
452,10-41-44,945.34
453,10-41-45,945.34
454,10-41-46,945.34
455,10-41-47,945.34
456,10-41-48,944.63
457,10-41-49,944.63
458,10-41-50,944.63
459,10-41-51,944.63
460,10-41-52,944.63
461,10-41-52,944.63
462,10-41-53,944.59
463,10-41-54,944.59
464,10-41-55,944.59
465,10-41-56,944.59
466,10-41-57,944.59
467,10-41-58,944.59
468,10-41-58,944.59
469,10-41-59,944.59
470,10-42-00,944.59
471,10-42-01,944.59
472,10-42-02,944.59
473,10-42-03,944.59
474,10-42-04,944.59
475,10-42-04,944.59
476,10-42-05,944.59
477,10-42-07,944.59
478,10-42-08,944.59
479,10-42-09,944.59
480,10-42-10,944.59
481,10-42-11,944.59
482,10-42-12,944.59
483,10-42-13,944.59
484,10-42-14,944.55
485,10-42-15,944.55
486,10-42-16,944.77
487,10-42-16,944.77
488,10-42-17,944.77
489,10-42-18,944.77
490,10-42-19,944.77
491,10-42-20,944.77
492,10-42-21,944.77
493,10-42-21,944.77
494,10-42-22,944.77
495,10-42-23,944.77
496,10-42-24,944.77
497,10-42-25,944.77
498,10-42-25,944.77
499,10-42-26,944.77
500,10-42-27,944.77
501,10-42-28,944.77
502,10-42-29,944.77
503,10-42-30,944.77
504,10-42-31,944.77
505,10-42-32,944.77
506,10-42-33,944.77
507,10-42-34,944.77
508,10-42-34,944.77
509,10-42-35,944.77
510,10-42-36,944.77
511,10-42-37,944.77
512,10-42-38,944.77
513,10-42-38,944.77
514,10-42-39,944.77
515,10-42-40,944.77
516,10-42-41,944.77
517,10-42-42,944.77
518,10-42-43,944.77
519,10-42-44,944.77
520,10-42-45,944.77
521,10-42-45,944.77
522,10-42-46,944.77
523,10-42-47,944.77
524,10-42-48,944.77
525,10-42-49,944.77
526,10-42-50,944.77
527,10-42-51,944.77
528,10-42-51,944.77
529,10-42-53,944.5
530,10-42-53,944.5
531,10-42-54,944.5
532,10-42-55,944.5
533,10-42-56,944.5
534,10-42-57,944.5
535,10-42-58,944.5
536,10-42-59,944.5
537,10-43-00,944.5
538,10-43-00,944.5
539,10-43-01,944.5
540,10-43-02,944.5
541,10-43-03,944.5
542,10-43-04,944.5
543,10-43-05,944.5
544,10-43-06,944.5
545,10-43-07,944.5
546,10-43-07,944.5
547,10-43-08,944.5
548,10-43-09,944.5
549,10-43-10,944.5
550,10-43-11,944.5
551,10-43-12,944.5
552,10-43-13,944.5
553,10-43-13,944.5
554,10-43-14,944.5
555,10-43-15,944.5
556,10-43-16,944.5
557,10-43-17,944.5
