GOOG,Time,Price
0,08-30-01,980.775
1,08-30-01,980.775
2,08-30-02,980.775
3,08-30-03,980.775
4,08-30-04,980.775
5,08-30-05,980.775
6,08-30-06,980.775
7,08-30-07,980.775
8,08-30-08,980.78
9,08-30-09,980.78
10,08-30-10,980.78
11,08-30-11,980.78
12,08-30-12,980.78
13,08-30-13,980.78
14,08-30-14,980.78
15,08-30-15,980.78
16,08-30-16,980.78
17,08-30-16,980.78
18,08-30-17,980.78
19,08-30-19,980.78
20,08-30-20,980.78
21,08-30-21,980.78
22,08-30-22,980.78
23,08-30-22,980.78
24,08-30-23,980.71
25,08-30-25,981.00
26,08-30-26,981.18
27,08-30-27,981.18
28,08-30-28,981.18
29,08-30-30,981.18
30,08-30-31,981.18
31,08-30-32,981.18
32,08-30-33,981.18
33,08-30-34,981.18
34,08-30-35,981.18
35,08-30-36,981.18
36,08-30-37,981.18
37,08-30-38,981.18
38,08-30-39,981.18
39,08-30-40,981.18
40,08-30-40,981.18
41,08-30-41,981.18
42,08-30-42,981.18
43,08-30-43,981.18
44,08-30-44,981.18
45,08-30-45,981.18
46,08-30-46,981.18
47,08-30-47,981.18
48,08-30-49,981.18
49,08-30-49,981.18
50,08-30-50,981.18
51,08-30-51,981.18
52,08-30-53,981.18
53,08-30-54,981.18
54,08-30-55,981.18
55,08-30-56,981.18
56,08-30-57,981.00
57,08-30-58,981.00
58,08-31-00,981.00
59,08-31-01,981.00
60,08-31-02,981.60
61,08-31-03,981.60
62,08-31-04,981.60
63,08-31-05,981.60
64,08-31-05,981.60
65,08-31-06,981.60
66,08-31-07,981.60
67,08-31-08,981.60
68,08-31-09,981.60
69,08-31-10,981.60
70,08-31-11,981.60
71,08-31-12,981.60
72,08-31-13,981.60
73,08-31-14,981.60
74,08-31-15,981.60
75,08-31-15,981.60
76,08-31-16,981.60
77,08-31-17,981.60
78,08-31-18,981.60
79,08-31-19,981.60
80,08-31-20,981.60
81,08-31-21,981.60
82,08-31-22,981.60
83,08-31-23,981.60
84,08-31-24,981.60
85,08-31-26,981.60
86,08-31-27,981.60
87,08-31-28,981.60
88,08-31-29,981.60
89,08-31-30,981.60
90,08-31-31,981.00
91,08-31-32,981.00
92,08-31-33,981.00
93,08-31-34,981.00
94,08-31-35,981.00
95,08-31-36,981.00
96,08-31-37,981.00
97,08-31-38,981.00
98,08-31-39,981.00
99,08-31-40,981.00
100,08-31-41,981.0000
101,08-31-42,981.3799
102,08-31-43,981.26
103,08-31-44,981.26
104,08-31-45,981.26
105,08-31-46,981.26
106,08-31-47,981.26
107,08-31-48,981.26
108,08-31-48,981.26
109,08-31-49,981.26
110,08-31-50,981.26
111,08-31-51,981.26
112,08-31-52,981.26
113,08-31-53,981.26
114,08-31-54,981.26
115,08-31-55,981.26
116,08-31-56,981.26
117,08-31-57,981.26
118,08-31-58,981.26
119,08-31-59,981.26
120,08-32-00,981.26
121,08-32-00,981.26
122,08-32-01,981.26
123,08-32-03,981.26
124,08-32-04,981.26
125,08-32-05,981.26
126,08-32-06,981.26
127,08-32-07,981.26
128,08-32-08,981.26
129,08-32-08,980.89
130,08-32-09,980.89
131,08-32-10,980.89
132,08-32-11,980.87
133,08-32-12,980.87
134,08-32-13,980.87
135,08-32-14,980.87
136,08-32-15,980.87
137,08-32-16,980.91
138,08-32-18,980.91
139,08-32-19,980.91
140,08-32-20,980.91
