TAL,Time,Price
0,11-27-57,124.4
1,11-28-05,124.4
2,11-28-08,124.4
3,11-28-12,124.4
4,11-28-15,124.4
5,11-28-17,124.4
6,11-28-18,124.4
7,11-28-21,124.4
8,11-28-23,124.4
9,11-28-28,124.4
10,11-28-31,124.4
11,11-28-35,124.4
12,11-28-40,124.4
13,11-28-46,124.4
14,11-28-49,124.4
15,11-28-52,124.4
16,11-28-55,124.4
17,11-28-57,124.4
18,11-28-59,124.4
19,11-29-05,124.47
20,11-29-10,124.47
21,11-29-14,124.47
22,11-29-17,124.47
23,11-29-21,124.47
24,11-29-25,124.47
25,11-29-29,124.47
26,11-29-35,124.47
27,11-29-41,124.47
28,11-29-45,124.47
29,11-29-51,124.47
30,11-29-55,124.47
31,11-30-01,124.47
32,11-30-05,124.47
33,11-30-11,124.3
34,11-30-14,124.3
35,11-30-17,124.3
36,11-30-21,124.3
37,11-30-25,124.3
38,11-30-28,124.3
39,11-30-33,124.4
40,11-30-38,124.4
41,11-30-42,124.4
42,11-30-45,124.4
43,11-30-50,124.4
44,11-30-54,124.4
45,11-30-58,124.4
46,11-31-02,124.4
47,11-31-07,124.4
48,11-31-11,124.4
49,11-31-15,124.4
50,11-31-22,124.4
51,11-31-28,124.4
52,11-31-34,124.4
53,11-31-38,124.4
54,11-31-43,124.4
55,11-31-47,124.4
56,11-31-53,124.4
57,11-31-57,124.4
58,11-32-01,124.4
59,11-32-07,124.4
60,11-32-12,124.4
61,11-32-17,124.4
62,11-32-21,124.6295
63,11-32-25,124.6295
64,11-32-31,124.6295
65,11-32-41,124.6295
66,11-32-48,124.63
67,11-32-50,124.63
68,11-32-55,124.63
69,11-33-01,124.63
70,11-33-04,124.63
71,11-33-10,124.63
72,11-33-13,124.59
73,11-33-16,124.59
74,11-33-19,124.7
75,11-33-23,124.7
76,11-33-27,124.7
77,11-33-31,124.7
78,11-33-35,124.7
79,11-33-39,124.7
80,11-33-44,124.7
81,11-33-49,124.7
82,11-33-54,124.7
83,11-33-58,124.7
84,11-34-01,124.7
85,11-34-05,124.7
86,11-34-10,124.62
87,11-34-12,124.62
88,11-34-17,124.6
89,11-34-22,124.6
90,11-34-26,124.6
91,11-34-32,124.6
92,11-34-37,124.6
93,11-34-42,124.6
94,11-34-46,124.6
95,11-34-49,124.66
96,11-34-53,124.66
97,11-34-57,124.66
98,11-35-01,124.66
99,11-35-06,124.66
100,11-35-08,124.66
101,11-35-10,124.67
102,11-35-13,124.67
103,11-35-17,124.67
104,11-35-19,124.67
105,11-35-24,124.67
106,11-35-28,124.67
107,11-35-31,124.67
108,11-35-34,124.67
109,11-35-37,124.67
110,11-35-41,124.67
111,11-35-45,124.76
112,11-35-47,124.75
113,11-35-50,124.75
114,11-35-52,124.75
115,11-35-53,124.75
116,11-35-54,124.75
117,11-36-00,124.75
118,11-36-04,124.75
119,11-36-07,124.75
120,11-36-11,124.75
121,11-36-15,124.905
122,11-36-22,124.905
123,11-36-27,124.9
124,11-36-30,124.9
125,11-36-36,124.85
126,11-36-41,124.85
127,11-36-43,124.85
128,11-36-45,124.85
129,11-36-47,124.85
130,11-36-49,124.85
131,11-36-50,124.85
132,11-36-51,124.85
133,11-36-52,124.85
134,11-36-53,124.85
135,11-36-54,124.85
136,11-36-55,124.85
137,11-36-56,124.85
138,11-36-58,124.85
139,11-36-58,124.85
140,11-36-59,124.85
141,11-37-00,124.85
142,11-37-02,124.85
143,11-37-03,124.85
144,11-37-05,124.85
145,11-37-06,124.85
146,11-37-07,124.85
147,11-37-09,124.85
148,11-37-10,124.85
149,11-37-11,124.88
150,11-37-14,124.88
151,11-37-15,124.88
152,11-37-18,124.88
153,11-37-19,124.88
154,11-37-20,124.88
155,11-37-21,124.88
156,11-37-22,124.88
157,11-37-23,124.88
158,11-37-24,124.88
159,11-37-25,124.88
160,11-37-26,124.88
161,11-37-27,124.88
162,11-37-28,124.88
163,11-37-29,124.88
164,11-37-30,124.88
165,11-37-30,124.88
166,11-37-31,124.88
167,11-37-32,124.88
168,11-37-33,124.88
169,11-37-34,124.88
170,11-37-35,124.88
171,11-37-36,124.88
172,11-37-37,124.88
173,11-37-38,124.88
174,11-37-39,124.88
175,11-37-40,124.88
176,11-37-41,124.88
177,11-37-42,124.88
178,11-37-43,124.88
179,11-37-46,124.88
180,11-37-51,124.87
181,11-37-59,124.87
182,11-38-02,124.87
183,11-38-04,124.87
184,11-38-05,124.87
185,11-38-06,124.87
186,11-38-07,124.87
187,11-38-08,124.87
188,11-38-09,124.87
189,11-38-10,124.87
190,11-38-11,124.87
191,11-38-12,124.87
192,11-38-13,124.87
193,11-38-14,124.87
194,11-38-15,124.87
195,11-38-16,124.87
196,11-38-17,124.87
197,11-38-18,124.87
198,11-38-18,124.87
199,11-38-19,124.87
200,11-38-20,124.87
201,11-38-21,124.87
202,11-38-22,124.87
203,11-38-23,124.87
204,11-38-24,124.87
205,11-38-25,124.87
206,11-38-27,124.87
207,11-38-28,124.87
208,11-38-29,124.87
209,11-38-30,124.87
210,11-38-31,124.87
211,11-38-32,124.87
212,11-38-33,124.87
213,11-38-33,124.87
214,11-38-34,124.87
215,11-38-35,124.87
216,11-38-36,124.87
217,11-38-37,124.87
218,11-38-38,124.87
219,11-38-39,124.87
220,11-38-40,124.87
221,11-38-41,124.87
222,11-38-42,124.87
223,11-38-43,124.81
224,11-38-44,124.81
225,11-38-44,124.81
226,11-38-45,124.81
227,11-38-46,124.81
228,11-38-47,124.81
229,11-38-48,124.81
230,11-38-49,124.81
231,11-38-50,124.81
232,11-38-51,124.81
233,11-38-52,124.81
234,11-38-53,124.81
235,11-38-54,124.81
236,11-38-55,124.81
237,11-38-55,124.81
238,11-38-56,124.81
239,11-38-57,124.81
240,11-38-58,124.81
241,11-38-59,124.81
242,11-39-00,124.81
243,11-39-01,124.81
244,11-39-02,124.81
245,11-39-03,124.81
246,11-39-04,124.81
247,11-39-05,124.81
248,11-39-06,124.81
249,11-39-06,124.81
250,11-39-07,124.81
251,11-39-08,124.81
252,11-39-09,124.81
253,11-39-11,124.81
254,11-39-12,124.81
255,11-39-13,124.81
256,11-39-14,124.81
257,11-39-14,124.76
258,11-39-15,124.76
259,11-39-16,124.76
260,11-39-17,124.76
261,11-39-18,124.76
262,11-39-19,124.76
263,11-39-19,124.76
264,11-39-20,124.76
265,11-39-21,124.76
