TAL,Time,Price
0,09-30-01,118.92
1,09-30-02,118.92
2,09-30-04,118.92
3,09-30-05,118.92
4,09-30-05,118.92
5,09-30-06,118.92
6,09-30-07,118.92
7,09-30-09,118.92
8,09-30-09,118.92
9,09-30-11,118.92
10,09-30-12,118.92
11,09-30-12,118.92
12,09-30-13,118.92
13,09-30-14,118.92
14,09-30-15,
15,09-30-16,118.92
16,09-30-17,118.92
17,09-30-18,118.92
18,09-30-19,118.92
19,09-30-20,118.92
20,09-30-21,118.92
21,09-30-22,118.92
22,09-30-23,118.92
23,09-30-24,118.92
24,09-30-25,118.92
25,09-30-26,118.92
26,09-30-27,118.92
27,09-30-28,118.92
28,09-30-29,118.92
29,09-30-29,118.92
30,09-30-31,118.92
31,09-30-32,118.92
32,09-30-33,118.92
33,09-30-35,118.92
34,09-30-35,118.92
35,09-30-36,118.92
36,09-30-38,118.92
37,09-30-39,118.92
38,09-30-40,118.92
39,09-30-42,118.92
40,09-30-43,118.92
41,09-30-44,118.92
42,09-30-46,118.92
43,09-30-47,118.91
44,09-30-48,118.91
45,09-30-49,118.91
46,09-30-50,118.91
47,09-30-51,118.91
48,09-30-52,118.91
49,09-30-53,118.91
50,09-30-54,118.91
51,09-30-55,118.91
52,09-30-56,118.91
53,09-30-57,118.91
54,09-30-58,118.91
55,09-30-59,118.91
56,09-31-00,118.91
57,09-31-02,118.91
58,09-31-03,118.91
59,09-31-04,118.91
60,09-31-05,118.91
61,09-31-05,118.91
62,09-31-07,118.91
63,09-31-07,118.91
64,09-31-08,118.91
65,09-31-09,118.91
66,09-31-11,118.91
67,09-31-12,118.86
68,09-31-13,118.86
69,09-31-14,118.86
70,09-31-15,118.86
71,09-31-17,118.86
72,09-31-18,118.86
73,09-31-19,118.86
74,09-31-20,118.86
75,09-31-21,118.86
76,09-31-22,118.86
77,09-31-23,118.86
78,09-31-24,118.86
79,09-31-25,118.86
80,09-31-26,118.86
81,09-31-27,118.86
82,09-31-28,118.86
83,09-31-29,118.86
84,09-31-30,118.86
85,09-31-32,118.86
86,09-31-33,118.86
87,09-31-34,118.860
88,09-31-35,118.763
89,09-31-36,118.75
90,09-31-37,118.71
91,09-31-38,118.71
92,09-31-39,118.71
93,09-31-41,118.71
94,09-31-42,118.71
95,09-31-43,118.71
96,09-31-44,118.71
97,09-31-45,118.71
98,09-31-46,118.71
99,09-31-51,118.71
100,09-31-52,118.71
101,09-31-53,118.71
102,09-31-54,118.71
103,09-31-56,118.71
104,09-31-57,118.71
105,09-31-58,118.71
106,09-31-59,118.71
107,09-32-00,118.71
108,09-32-01,118.71
109,09-32-02,118.63
110,09-32-04,118.63
111,09-32-05,118.75
112,09-32-06,118.72
113,09-32-07,118.72
114,09-32-08,118.72
115,09-32-09,118.72
116,09-32-10,118.72
117,09-32-11,118.72
118,09-32-12,118.72
119,09-32-13,118.72
120,09-32-14,118.72
121,09-32-15,118.72
122,09-32-16,118.720
123,09-32-17,118.720
124,09-32-19,118.72
125,09-32-20,118.72
126,09-32-21,118.72
127,09-32-22,118.72
128,09-32-23,118.72
129,09-32-24,118.72
130,09-32-25,118.72
131,09-32-26,118.72
132,09-32-27,118.72
133,09-32-28,118.72
134,09-32-29,118.72
135,09-32-30,118.72
136,09-32-31,118.72
137,09-32-32,118.720
138,09-32-33,118.72
139,09-32-34,118.72
140,09-32-35,118.72
141,09-32-36,118.72
142,09-32-37,118.72
143,09-32-38,118.720
144,09-32-39,118.72
145,09-32-40,118.720
146,09-32-41,118.72
147,09-32-42,118.72
148,09-32-43,118.72
149,09-32-44,118.72
150,09-32-45,118.72
151,09-32-46,118.72
152,09-32-47,118.72
153,09-32-48,118.75
154,09-32-49,118.75
155,09-32-50,118.75
156,09-32-50,118.75
157,09-32-51,118.75
158,09-32-52,118.75
159,09-32-53,118.75
160,09-32-58,118.75
161,09-32-59,118.75
162,09-33-00,118.75
163,09-33-01,118.75
164,09-33-02,118.75
165,09-33-03,118.75
166,09-33-04,118.75
167,09-33-05,118.75
168,09-33-06,118.75
169,09-33-07,118.75
170,09-33-08,118.75
171,09-33-09,118.75
172,09-33-10,118.75
173,09-33-11,118.75
174,09-33-12,118.75
175,09-33-12,118.75
176,09-33-13,118.86
177,09-33-14,118.86
178,09-33-15,118.86
179,09-33-16,118.860
180,09-33-17,118.865
181,09-33-18,118.865
182,09-33-18,118.865
183,09-33-19,118.865
184,09-33-23,118.865
185,09-33-24,118.865
186,09-33-25,118.865
187,09-33-26,118.865
188,09-33-27,118.865
189,09-33-28,118.865
190,09-33-29,118.865
191,09-33-30,118.865
192,09-33-31,118.865
193,09-33-32,118.865
194,09-33-33,118.865
195,09-33-34,118.865
196,09-33-37,118.865
197,09-33-38,118.865
198,09-33-39,118.865
199,09-33-40,118.865
200,09-33-41,118.8650
201,09-33-42,118.8650
202,09-33-43,118.8650
203,09-33-44,118.8650
204,09-33-45,118.8650
205,09-33-46,118.8650
206,09-33-47,118.8650
207,09-33-48,118.86
208,09-33-49,118.86
209,09-33-50,118.86
210,09-33-50,118.86
211,09-33-51,118.86
212,09-33-52,118.86
213,09-33-53,118.86
214,09-33-54,118.86
215,09-33-55,118.86
216,09-33-56,118.86
217,09-33-57,118.86
218,09-33-58,118.86
219,09-33-59,118.86
220,09-34-01,118.86
221,09-34-02,118.86
222,09-34-03,118.86
223,09-34-03,118.86
224,09-34-04,118.86
225,09-34-06,118.86
226,09-34-07,118.86
227,09-34-08,118.86
228,09-34-09,118.86
229,09-34-10,118.86
230,09-34-11,118.86
231,09-34-12,118.86
232,09-34-13,118.86
233,09-34-14,118.86
234,09-34-15,118.86
235,09-34-16,118.86
236,09-34-17,118.86
237,09-34-18,118.86
238,09-34-19,118.86
239,09-34-20,118.86
240,09-34-21,118.86
241,09-34-22,118.86
242,09-34-23,118.86
243,09-34-24,118.86
244,09-34-25,118.86
245,09-34-28,118.86
246,09-34-28,118.86
247,09-34-29,118.86
248,09-34-30,118.86
249,09-34-35,118.86
250,09-34-37,118.73
251,09-34-38,118.73
252,09-34-39,118.73
253,09-34-40,118.73
254,09-34-41,118.73
255,09-34-42,118.73
256,09-34-43,118.73
257,09-34-44,118.73
258,09-34-47,118.73
259,09-34-48,118.73
260,09-34-49,118.73
261,09-34-50,118.73
262,09-34-51,118.73
263,09-34-52,118.73
264,09-34-53,118.73
265,09-34-54,118.73
266,09-34-55,118.73
267,09-34-58,118.74
268,09-34-59,118.74
269,09-35-00,118.74
270,09-35-01,118.74
271,09-35-03,118.74
272,09-35-05,118.74
273,09-35-05,118.74
274,09-35-06,118.74
275,09-35-07,118.74
276,09-35-08,118.74
277,09-35-09,118.74
278,09-35-10,118.74
279,09-35-11,118.74
280,09-35-12,118.74
281,09-35-13,118.74
282,09-35-14,118.74
283,09-35-15,118.74
284,09-35-16,118.74
285,09-35-17,118.74
286,09-35-18,118.74
287,09-35-19,118.74
288,09-35-20,118.74
289,09-35-21,118.74
290,09-35-22,118.74
291,09-35-23,118.74
292,09-35-24,118.73
293,09-35-25,118.73
294,09-35-27,118.73
295,09-35-28,118.64
296,09-35-31,118.64
297,09-35-32,118.64
298,09-35-33,118.64
299,09-35-34,118.64
300,09-35-35,118.64
301,09-35-36,118.64
302,09-35-37,118.64
303,09-35-38,118.64
304,09-35-39,118.64
305,09-35-40,118.64
306,09-35-42,118.64
307,09-35-43,118.64
308,09-35-44,118.64
309,09-35-45,118.72
310,09-35-46,118.72
311,09-35-47,118.72
312,09-35-48,118.72
313,09-35-48,118.72
314,09-35-49,118.72
315,09-35-50,118.72
316,09-35-51,118.72
317,09-35-52,118.72
318,09-35-53,118.72
319,09-35-54,118.72
320,09-35-55,118.72
321,09-35-56,118.72
322,09-35-57,118.72
323,09-35-59,118.72
324,09-36-00,118.72
325,09-36-01,118.72
326,09-36-02,118.72
327,09-36-03,118.72
328,09-36-04,118.69
329,09-36-05,118.69
330,09-36-06,118.69
331,09-36-07,118.69
332,09-36-08,118.69
333,09-36-09,118.69
334,09-36-10,118.69
335,09-36-11,118.69
336,09-36-12,118.69
337,09-36-13,118.69
338,09-36-14,118.69
339,09-36-14,118.69
340,09-36-15,118.69
341,09-36-16,118.69
342,09-36-17,118.69
343,09-36-18,118.69
344,09-36-19,118.69
345,09-36-20,118.69
346,09-36-21,118.67
347,09-36-22,118.67
348,09-36-25,118.725
349,09-36-26,118.725
350,09-36-27,118.725
351,09-36-28,118.725
352,09-36-29,118.725
353,09-36-30,118.725
354,09-36-31,118.725
355,09-36-33,118.725
356,09-36-33,118.725
357,09-36-37,118.725
358,09-36-38,118.725
359,09-36-39,118.80
360,09-36-40,118.80
361,09-36-41,118.80
362,09-36-42,118.77
363,09-36-43,118.77
364,09-36-44,118.77
365,09-36-45,118.77
366,09-36-46,118.77
367,09-36-47,118.77
368,09-36-48,118.77
369,09-36-49,118.77
370,09-36-50,118.77
371,09-36-51,118.77
372,09-36-52,118.77
373,09-36-53,118.77
374,09-36-54,118.80
375,09-36-55,118.80
376,09-36-56,118.80
377,09-36-57,118.80
378,09-36-58,118.80
379,09-36-58,118.80
380,09-36-59,118.80
381,09-37-01,118.80
382,09-37-02,118.80
383,09-37-02,118.80
384,09-37-03,118.80
385,09-37-05,118.80
386,09-37-06,118.80
387,09-37-06,118.80
388,09-37-08,118.80
389,09-37-08,118.80
390,09-37-09,118.80
391,09-37-10,118.80
392,09-37-11,118.80
393,09-37-12,118.80
394,09-37-13,118.80
395,09-37-14,118.80
396,09-37-15,118.80
397,09-37-16,118.80
398,09-37-17,118.80
399,09-37-18,118.80
400,09-37-19,118.80
401,09-37-20,118.7007
402,09-37-21,118.7007
403,09-37-22,118.7007
404,09-37-24,118.7007
405,09-37-25,118.70
406,09-37-26,118.70
407,09-37-27,118.70
